id,سال میلادی,ماه میلادی عدد ,نام ماه میلادی,روز میلادی عدد ,نام روز میلادی ,سال قمری,ماه قمری عدد,نام ماه قمری,روز قمری,روز عربی ,سال شمسی,ماه شمسی,نام ماه شمسی,روز شمسی عدد,روز شمسی,تعطیل,مناسبت
108,2020,7,Jul,5,Sunday,1441,11,ذیقعده,13,الأحد,1399,4,تیر,15,یکشنبه,,
109,2020,7,Jul,6,Monday,1441,11,ذیقعده,14,الأثنين,1399,4,تیر,16,دوشنبه,,روز مالیات
110,2020,7,Jul,7,Tuesday,1441,11,ذیقعده,15,الثلاثاء,1399,4,تیر,17,سه شنبه,,
111,2020,7,Jul,8,Wednesday,1441,11,ذیقعده,16,الأربعاء,1399,4,تیر,18,چهار شنبه,,روز ادبیات کودکان و نوجوانان - کشف توطئه آمریکایی در پایگاه هوایی شهید نوژه (کودتای نافرجام نقاب - ۱۳۵۹ هـ ش)
112,2020,7,Jul,9,Thursday,1441,11,ذیقعده,17,الخميس,1399,4,تیر,19,پنج شنبه,,
113,2020,7,Jul,10,Friday,1441,11,ذیقعده,18,الجمعه,1399,4,تیر,20,جمعه,تعطیل,
114,2020,7,Jul,11,Saturday,1441,11,ذیقعده,19,السبت,1399,4,تیر,21,شنبه,,روز عفاف و حجاب - حمله به مسجد گوهرشاد و کشتار مردم به دست رضاخان(۱۳۱۴ ‫هـ‬ ش)
115,2020,7,Jul,12,Sunday,1441,11,ذیقعده,20,الأحد,1399,4,تیر,22,یکشنبه,,
116,2020,7,Jul,13,Monday,1441,11,ذیقعده,21,الأثنين,1399,4,تیر,23,دوشنبه,,گشایش نخستین مجلس خبرگان رهبری (۱۳۶۲ هـ ش)
117,2020,7,Jul,14,Tuesday,1441,11,ذیقعده,22,الثلاثاء,1399,4,تیر,24,سه شنبه,,
118,2020,7,Jul,15,Wednesday,1441,11,ذیقعده,23,الأربعاء,1399,4,تیر,25,چهار شنبه,,روز بهزیستی و تأمین اجتماعی
119,2020,7,Jul,16,Thursday,1441,11,ذیقعده,24,الخميس,1399,4,تیر,26,پنج شنبه,,سالروز تأسیس نهاد شورای نگهبان
120,2020,7,Jul,17,Friday,1441,11,ذیقعده,25,الجمعه,1399,4,تیر,27,جمعه,تعطیل,اعلام پذیرش قطعنامه ۵۹۸ شورای امنیت از سوی ایران (۱۳۶۷ هـ ش)
121,2020,7,Jul,18,Saturday,1441,11,ذیقعده,26,السبت,1399,4,تیر,28,شنبه,,
122,2020,7,Jul,19,Sunday,1441,11,ذیقعده,27,الأحد,1399,4,تیر,29,یکشنبه,,
123,2020,7,Jul,20,Monday,1441,11,ذیقعده,28,الأثنين,1399,4,تیر,30,دوشنبه,,روز بزرگداشت آیت الله سید ابوالقاسم کاشانی
124,2020,7,Jul,21,Tuesday,1441,11,ذیقعده,29,الثلاثاء,1399,4,تیر,31,سه شنبه,, شهادت امام محمد تقی (ع) (۲۲۰ هـ ق)
125,2020,7,Jul,22,Wednesday,1441,12,ذیحجه,1,الأربعاء,1399,5,مرداد,1,چهار شنبه,,
